tweet_id,fecha_reply,reply_id,texto,likes,retweets,replies,gender,usuario,;;
"1902223959283699884,19/03/2025 7:06:00,1,""!!!PRUDENCIA Presidente. El país está CANSADO de tanta polarización Y no se le olvide que fue de a caballo que se LIBERTÓ a Colombia!!! PASAPORTE no era solo mi caballo, era mi amigo, mi compañero. https://pbs.twimg.com/media/GmZvw22W4AA8ueA?format=jpg&name=small "",9700,2300,991,male,@JAlirioBarreraR,";;
"1902223959283699884,19/03/2025 4:45:00,2,""Este caballo después de eso, se volvió cacorro, drogadicto y nunca más volvió a trabajar. https://pbs.twimg.com/media/GmZPhu0a8AIhFzx?format=jpg&name=360x360"",4300,780,157,male,@JUDAN_1020,";;
1902223959283699884,19/03/2025 12:59:00,3,Este hijo de puta se está burlando de la muerte de un animalito. Malparido drogadicto! https://pbs.twimg.com/media/GmYb4ibXQAA4UGL?format=jpg&name=900x900 ,3100,332,81,male,@santiuribedel10,;;
"1902223959283699884,19/03/2025 3:42:00,4,""Prefirió ? Mire el nivel de estupideces que dice un Presidentucho a las 12 de la noche, increíble ! De verdad un tipo con tanto rencor como Petro cree que es el dueño del amor y de la paz ? Deplorable"",1600,287,14,male,@Rincon001A,";;
"1902223959283699884,19/03/2025 12:13:00,5,""✅ 12:13 am, ✅ Cafecito 🦜, ✅ Se la hundieron y no fue Yepes, ="",1500,148,8,male,@millanrussy,";;
"1902223959283699884,19/03/2025 7:48:00,6,""¿Sigue irrespetando a Congresistas @petrogustavo? De verdad que su papel como Presidente de la República es más que LAMENTABLE. Juega vilmente con el dolor ajeno y hasta con la muerte, esta vez en contra del Senador @JAlirioBarreraR, Descarado."",1000,244,16,male,@papoaminCD,";;
"1902223959283699884,19/03/2025 6:41:00,7,""Usted es demasiado guiso, ordinario, chabacán, patán y hampón de formación (M-19), como se lo dijo @VickyDavilaH. Nunca antes, ni con el narcobojote, el país había sentido tanta vergüenza de una presidencia. 😖.                                                                                                                                                                               PD: ese senador montó un caballo, usted qué monta??? 🤢🤢🤢. https://x.com/i/status/1902324669283196982"",1100,287,52,female,@PaolaGuerreroI_,";;
"1902223959283699884,19/03/2025 9:41:00,8,""Metete con el Senador, metete con nosotros pero no te metas con un animalito que no conoce el ODIO como vos 😡😡😡. BASTARDO HIJUEPUTA 😡😡 https://x.com/MOinternationa/status/1902369944840343792/photo/1"",1000,227,30,female,@MOinternationa,";;
1902223959283699884,19/03/2025 6:52:00,9,https://pbs.twimg.com/media/GmZsoopXEAEmuMa?format=jpg&name=medium,474,246,4,male,@grojassa,;;
"1902223959283699884,19/03/2025 6:43:00,10,""Este Sr es el ser más despreciable que ha existido sobre la tierra. Con razón lo abandonan sus hijos, la esposa, los amigos. El único que todavía lo acepta es su novio de Panamá, por que cuando se lo come no le tiene que ver la cara."",600,113,8,male,@EstebanMerchan7,";;
1910821722305011751,11/04/2025 20:05:00,11,Tranquilo presidente. Pasará como con los muros de las madres de la escombrera que borran con pintura negra:  ahora nos verá más gente y los mensajes se multiplicarán por miles de medios alternativos.,3200,1200,246,male,@GustavoBolivar,;;
"1910821722305011751,11/04/2025 17:30:00,12,""¿Censurar qué? Pedófilo.                                                                                                                                                                                                                              Si hace poco dijiste que RTVC era el mejor noticiero del mundo. Pues transmití tus mierda ahí. No nos pongás a ver tu basura en horario estelar ni en ningún otro. Calmate o te calmamos con las Altas Cortes, guerrillero asesino. Bajale tres rayas."",2300,392,22,male,@millanrussy,";;
"1910821722305011751,11/04/2025 18:20:00,13,""Se demoró una hora y tres minutos en cantar """"Golpe Blando"""". Usted es un payaso insufrible, un tuitero plañidera, un pusilánime No es más. Un ser minúsculo, insignificante y sobre todo, peligroso. Pero no es peligroso por sí mismo, es peligroso porque los que ostentan el poder y pueden hacerle frente, todavía no han entendido que usted es una amenaza. 🙂"",1600,338,22,female,@Missmelindres,";;
"1910821722305011751,11/04/2025 17:34:00,14,""Dicen que @petrogustavo es un dictador, cuando en realidad son ellos quienes se comportan como tal. No permitir la transmisión de los consejos de ministros es censura pura y dura. ¿Y saben por qué? Porque al transmitirlos, la prensa se queda sin cómo manipular la información."",1200,473,38,male,@TatanOrrego,";;
"1910821722305011751,11/04/2025 18:21:00,15,""Dicen que @petrogustavo es un dictador, cuando en realidad son ellos quienes se comportan como tal. No permitir la transmisión de los consejos de ministros es censura pura y dura. ¿Y saben por qué? Porque al transmitirlos, la prensa se queda sin cómo manipular la información."",1400,365,27,male,@PETRIIISTAAAAS,";;
"1910821722305011751,11/04/2025 17:29:00,16,""No sea tan sinvergüenza de comparar los programas de Duque, en medio de la pandemia y de una crisis de salud mundial. Lo suyo es un completo ABUSO. Se aprovecha de la figura de las alocuciones para hacerle propaganda a su gobierno en RCN y Caracol. Acate la ley ";;
"@petrogustavo."",1200,353,61,male,@papoaminCD,";;
