fecha,tweet_id,texto,likes,retweets,replies,usuario
2025-03-19 05:01:48+00:00,1902223959283699884,"Este congresista montó a caballo y entró al congreso. El caballo sintió tanta bestialidad encima que prefirió morirse.
 https://t.co/S7vC3vSknT",17592,5091,7116,@petrogustavo
2025-04-11 22:26:14+00:00,1910821722305011751,"Que me quieren censurar no es para mi, sorpresa. Hasta me torturaron para que no dijera mis ideas

Creo que los magistrados del Consejo de Estado se equivocan al censurar al presidente de la república y jefe de estado. No me consideran como tal, no me consideran presidente,",17546,7077,5435,@petrogustavo
2025-03-20 14:52:35+00:00,1902735022223757707,"Hay mucha bestialidad, que no es propiedad del animal, sino de seres humanos embrutecidos.

Solo falta leer y no habrá bestia dominante y mortífera. https://t.co/EZsn3jqP56",12345,4140,5344,@petrogustavo
2025-04-23 17:50:09+00:00,1915100899074363584,"Se me volvió pecado estar con mi familia. Por vivir varios de mis hijos y mi madre en el extranjero, por la persecusión que sufrimos, tengo muy  pocas oportunidades de verla. 

No creí que ese hecho desatara suspicacias atroces en personas a las que les he dado la mano.",18466,6089,5184,@petrogustavo
2025-04-15 20:37:48+00:00,1912243983780122823,"Se enviaron personas veedores de Colombia a las elecciones del Ecuador.

Los informes que recibo son preocupantes.

Leonidas Isa, escandidato indígena, fue detenido unos días antes. Las zonas de mayoría de la oposición fueron puestas bajo estado de sitio y control militar dos",13402,5830,5037,@petrogustavo
2025-04-26 13:25:12+00:00,1916121382636695719,"Aquí he llorado, no estoy en espectáculos y me siento triste y algo solo, sé que Francisco ya no está, no está en Roma, ya su existencia finalizó. 

Ha muerto el gran Papa latinoamericano, que se abrió a toda la humanidad, y fué humano, simplemente humano y, por tanto, muy",17570,4572,4920,@petrogustavo
2025-03-22 16:55:01+00:00,1903490612059308457,"Estas son las 113.000 dosis de insulina acaparadas en Audifarma y descubiertas por mi gobierno

Se a lo que me arriesgo cuando me acerco a gente muy favorecida en alguna justicia np independiente cuando hay gente con dinero

Pero debo decir la  verdad: son unos cochinos asesinos https://t.co/PHQacQw1aj",9060,3285,4846,@petrogustavo
2025-05-02 12:53:04+00:00,1918287625288597916,No tengo problema en publicar la marca de mi relog. Como ven no es Rolex. No me gustan esa estridencias codiciosas https://t.co/Wu4p27mD08,19713,2701,4815,@petrogustavo
2025-04-23 13:52:00+00:00,1915040966865473933,"La única manera para que la prensa públique cartas, es insultándome. No solo habla mal del escritor, sino de la prensa.

¿Es que Paris no tiene parques, museos, librerias, más interesantes que el escritor, para pasar dos días? Casi todo en París es más interesante.

¿Es que acaso",14238,4965,4593,@petrogustavo
2025-04-25 03:58:13+00:00,1915616308726563001,"Por sobre todas las cosas, a quien se debe respetar en una Democracia es al pueblo. Y anda por ahí mucho HP que irrespeta al pueblo. https://t.co/NJy6JxXGGS",15267,4419,4592,@petrogustavo
2025-04-13 19:34:18+00:00,1911503230657565023,"Me gustan las mañanas con sol en abril, llegan las ideas nuevas y frescas y huelen como flores. Mientras haya esperanza, todo podrá cambiar. https://t.co/CBNO6GnHHB",27092,4683,4523,@petrogustavo
2025-03-27 14:16:56+00:00,1905262767042371850,"Yo quiero que me expliquen: Caracol, RCN y el extraño canal UNO, ¿por qué hay una tutela contra el presidente por expresarse, en el espectro electromagnético qué según la constitución nacional, es público, inembargable y, oigan bien: inenajenable, pero no la hubo para la",18756,6834,4404,@petrogustavo
2025-04-11 23:55:43+00:00,1910844241514766819,"Los asuntos públicos son públicos. La democracia es el debate público, no lo censuren https://t.co/XDa1w77sQY",14401,5092,4323,@petrogustavo
2025-03-31 03:38:25+00:00,1906551632730398877,"Ya sabía. 

La biblia dice que no desearás la mujer de tu prójimo, en Colombia se olvida muchas veces, pero no los hombres de armas; porqud sabemos que sí pasa eso, se incumple, y no por los ataques de celos armados, sea  de hombres o de mujeres; donde puedes desaparecer, como https://t.co/clQgxqkKyt",6490,2423,4306,@petrogustavo
2025-04-16 02:07:01+00:00,1912326836895260924,"La OEA señala irregularidades en las elecciones del Ecuador.

En siete provincias se decreto el estado de excepción. El ejército dirigió la jornada electoral, las mesas durante las elecciones, y el conteo de votos

No hay elecciones libres bajo estado de sitio.

No puedo",13292,6022,4246,@petrogustavo
2025-04-27 20:13:53+00:00,1916586619022246259,"La drogadicción es efectivamente una enfermedad y no se debe confundir con consumo de drogas, son dos temas diferentes. La adicción es una enfermedad sicilógica que se presenta como dependencia a una sustancia o actividad: la búsqueda obsesiva de dinero, el alcohol, el azucar, el",8787,2879,3722,@petrogustavo
2025-04-28 21:20:48+00:00,1916965847735701570,"Por esto no quieren que se hable de reelección, pero tambien quieren impedir otro gobierno progresista y rompen la ley y los principios democráticos para impedirlo.

Le podemos ganar a la oligarquía y las mafias, otra vez. Depende del pueblo. https://t.co/LtDpnuQKPS",7089,2543,3651,@petrogustavo
2025-03-18 18:32:35+00:00,1902065614426141153,En una democracia es el pueblo el que manda https://t.co/tAaSB2FNQ9,37842,7781,3489,@petrogustavo
2025-03-14 23:13:44+00:00,1900686814123343956,"La primera pregunta es: ¿quiere que el día en Colombia termine a las 6 de la tarde y sea festivo el sábado y el domingo, y por tanto habrá recargo salarial si se trabaja en horas extras?

Sí o No.
 https://t.co/oyKNxi6ake",14584,3707,3317,@petrogustavo
2025-03-22 04:14:57+00:00,1903299335086862807,"Dije que estaban acaparando la insulina.

Dicho y hecho. Descubrimos 113.000 unidades de insulina acaparadas en las bodegas de Audifarma, la vieja táctica empresarial para dar golpes de estado, como el golpe de Pinochet, solo que nosotros los descubrimos.

En la salud han crecido https://t.co/cBTdaHbCbW",20056,7754,3274,@petrogustavo
2025-04-06 01:52:35+00:00,1908699325577781701,"Señora Kristi, la banda del tren de Aragua, que es una banda delincuencial asesina, la fortalecieron ustedes mismos, bloqueando a Venezuela

Yo demostré que se detenía la migración venezolana a América toda, simplemente formalizando las relaciones diplomáticas y abriendo la https://t.co/48CbJl2Qjf",5871,2776,3231,@petrogustavo
2025-04-26 19:32:49+00:00,1916213898325135535,"Pareciera que dijeramos, ¿y ahora para dónde vamos compañero?, pues no hay otra, que para adelante, compañero. https://t.co/DUQGRznsPX",17410,3342,3012,@petrogustavo
2025-03-15 00:24:22+00:00,1900704591303340432,"El martes 18 de marzo, 18M, será día cívico, nadie podrá despedir a quien vaya a las calles a movilizarse por sus derechos laborales y del trabajo.

El 18M es el día primero de la consulta popular. https://t.co/SrTcycAkfg",7996,3124,2968,@petrogustavo
2025-04-28 12:44:28+00:00,1916835909359620314,"Esto sucedió en el Club el Nogal de Bogotá: así reaccionaron estas personas ante la presencia de Daniel Quintero ex alcalde de Medellín por voto popular. La indiamenta de una clase alta que se cree aristocrática y olvida sus propios ancestros.

A esto se le llama arribismo y el",9638,4000,2964,@petrogustavo
2025-03-17 16:17:39+00:00,1901669268774674643,"Chateos empresariales, de patrones y esclavistas.

Hombres del mal y la codicia. No saben que Colombia nació de la rebeldía. Nació contra las cadenas gritando libertad. https://t.co/yj1I0biRgg",7474,2302,2947,@petrogustavo
2025-05-01 21:37:18+00:00,1918057165782176184,"La espada desenvainada, hoy guía al pueblo hacia la consulta y la justicia social. https://t.co/JXcoPIJ2Fd",14650,2970,2942,@petrogustavo
2025-04-16 18:33:16+00:00,1912575034922590426,"Hay una lista negra de opositores en Ecuador que están siendo perseguidos. El gobierno de Colombia le dará asilo a todo el que llegue a territorio colombiano.

Han sido detenidos observadores electorales colombianos https://t.co/CLByGRxszH",7611,3752,2908,@petrogustavo
2025-04-26 22:28:31+00:00,1916258115487441314,"Vienen los vampiros, pero los vampiros desaparecen ante el sol, Georgieva",7057,1767,2872,@petrogustavo
2025-04-22 04:48:16+00:00,1914541744269484403,"Este primero de mayo el pueblo de Colombia sale a la calle a todas las plazas públicas a entregar al senado el texto de la Consulta popular

Presentaré ante el pueblo la espada de Bolívar desenvainada que nos guiará a ganar el Sí en la Consulta. Vamos por la Gran Clombia https://t.co/gmDWSeeBWx",10147,3780,2831,@petrogustavo
2025-03-26 22:33:30+00:00,1905025346413457811,"Hoy nos vemos a las siete, si no nos censuran, en su TV. https://t.co/G5g1fmoV6c",10136,2437,2756,@petrogustavo
2025-03-17 14:47:54+00:00,1901646680874680753,"Qué manera de mentir, de volver contra los justos la mentira.
Acaso no saben que las EPS para mantener sus negocios sucios por encima de la vida, están acaparando los medicamentos, hay necesidad de ir a sus bodegas y mostrar las cajas de medicinas que no entregan? https://t.co/KbTDcaVxtF",5299,2878,2727,@petrogustavo
2025-03-24 01:57:13+00:00,1903989449979011228,"Las verdaderas fotos. Con tecnología¹ falsearon fotos en redes para poner una trampa y desacreditar al gobierno.

Yo juré defender al pueblo y lo estoy haciendo. Y la verdad es revolucionaria, lo mismo que la paz.

Estamos rodeados de porquería, pero el pueblo puede limpiar.  Los https://t.co/fiD6JKghJB",10290,4821,2666,@petrogustavo
2025-04-19 15:11:31+00:00,1913611424888160492,"En esta foto de García Márquez y Jaime Bateman, fundador del Movimiento 19 de abril, M19, se resume una corriente de la sociedad colombiana que partiendo de Bolívar y Nariño, pasa por el general Melo, el general Rafael Uribe Uribe, López Pumarejo, Gaitán, y llega hasta nuestros https://t.co/dXfpwzk52K",7483,2621,2600,@petrogustavo
2025-04-21 13:46:21+00:00,1914314767935610998,"Se me fue un gran amigo. Me siento algo solo.

Comprendió perfectamente su papel como líder espiritual en la gran lucha por la vida. En las causas codiciosas de la extinción.

Sus encíclicas pasarán a la historia si somos capaces de construir una humanidad que defienda su mayor https://t.co/o8WjFLKsol",18451,4386,2598,@petrogustavo
2025-03-18 20:07:16+00:00,1902089441151480212,"Si el pueblo es traicionado, el que se va es el traidor, no el pueblo. https://t.co/6hYe2Nkw6Y",17189,5414,2589,@petrogustavo
2025-04-21 00:06:25+00:00,1914108424251465971,"Le solicito a @FiscaliaCol y a @PoliciaColombia abrir investigación judicial sobre esta red dirigida por el asesino @Lykanista, construida para amenazar de muerte a progresistas en la red, incluido al presidente de la República.

La red está vinculada a la senadora Cabal. https://t.co/jv2heBhlcW",8765,4530,2521,@petrogustavo
2025-04-30 02:47:59+00:00,1917410573639176643,A la Consulta este 1 de Mayo https://t.co/Bo0e6KhJfD,19440,4864,2503,@petrogustavo
2025-04-23 00:22:17+00:00,1914837195057136108,"Este primero de mayo, millones de colombianos y colombianas en las plazas públicas, presentamos estas preguntas al Senado de la República, para que apruebe la Consulta Popular con ellas.

Analícelas, le propongo darle SÍ a todas. https://t.co/Jis7715cFH",10135,4239,2455,@petrogustavo
2025-03-17 13:45:35+00:00,1901631000519864724,"Precisamente para trabajar hay que parar. Alcaldes de la miseria qué dejan a sus ciudades sin agua.

Que prefieren golpear débiles habitantes de calle y vendedores ambulantes que frenar a los voracez especuladores de la tierra y el agua.

Alcaldes de la muerte que no saben https://t.co/DF8CmORSx8",8208,2601,2445,@petrogustavo
2025-03-18 17:26:21+00:00,1902048946769555870,La consulta popular va. https://t.co/3YAuz6aJsa,21387,4771,2425,@petrogustavo
2025-04-27 18:08:40+00:00,1916555108722082031,"""Que nuestro comandante es el pueblo"" Carlos Pizarro https://t.co/b6MBroGl9M",8001,2452,2421,@petrogustavo
2025-04-16 00:15:47+00:00,1912298841325597115,"Voy a decretar la emergencia económica, después de la sanitaria. Pero no por lo que dicen los contrabandistas, lavadores y petroleros que son los que vienen dominando la política económica de Colombia, sino por algo simple y contundente: LA VIDA.

Estamos de nuevo ante un virus. https://t.co/DJH4NbsZ9o",5714,2350,2407,@petrogustavo
2025-04-15 17:00:30+00:00,1912189300315419028,"Que se le puede decir a  ""Fico"", no tengo otra palabra que ignorante. 

Solo le aconsejaría leer un poco más.
 https://t.co/HnZ1D18Pir",20863,7352,2398,@petrogustavo
2025-04-27 20:40:22+00:00,1916593283620585794,"Una comisión independiente, debe examinar de inmediato las circunstancias del ataque al ejército en el Guaviare, examinado desde los contenidos de la decisión de disminuir el cese al fuego, que se tomó con los frentes bajo órdenes de ""Calarcá"".

Soy responsable de la vida de cada",3883,1770,2380,@petrogustavo
2025-04-30 00:56:21+00:00,1917382481969373349,"Al lado de la exposición de García Márquez, esta el salón de la Revolución en la casa de Nariño. Aquí la sotana dd sacerdote Camilo Torres Restrepo, caído en combate. Medicina Legal logró comprobar clientíficamente, su pertenencia a traves del examen del ADN de la madre de https://t.co/fQ5TbVP3II",4666,1412,2369,@petrogustavo
